generation, fitness, rule
0, -69.489899, 411131466025515650402162353322660536341426143056431453330303106161441521340115620311666612215416156060264454120422011333351566236042462340020010024320046011630536112033624562024513151663026666516154326514602455510231501316044111344560533423334
1, -56.179901, 341225316642420140404505203153504164302551516253555625645652466444024516351431624226512012201335623506435316211233214643336312643541261411044631432154004665236350324643334002654011645415103266464515242442634625451054102005321646163066114364446
2, -9.549900, 144544033404341563056461052116643650413330341244111110020360620303432136122256116516250146020436211234246654213316412463453455341501526364105460616361663564100013224141465036301030152446636231622114202421622446446660424165222261463042461450664
3, -19.839899, 265424200110310232465463300244614551423651321542466033266456512144436020513530114250333352363130024665531444253432145212110116240442203514144631432154004665236350324643334002644011645415103266464515242442634625451054102005321646163066114364446
4, -9.039900, 525625211243556345005156643056554530106532102114160152252263406604644153104534542206533551014003403401641525062631220210413665645405041525020010024320046011600013224141445036311030152422365065554266010063236416414650100066124665636001503130404
5, 0.500100, 525625211243556345005156643056554530106032102114160152252263406604644153104534542206533551014003403401641525062631220210413665645405041365455315216502016615454526440320660241025402444455543530224614202421622446446660424165222261463042463030534
6, 0.500100, 525625211243556345005156643056554530106032102114160152252263406604644153104534542206533551014003403401641525062631220210413665645405041365455315216502016615454526440320660241025402444455543530652114202421622446446660424165222261463042463030534
7, 0.900100, 265424200110341563056461052116143650413330341244111110020363406603644153104534542206533551014003403401241525062631220210413665645405041525020010024320046011600013224520660241025402444455543530224614202421622446446660424165222261463042463030534
8, 1.200100, 265424200110310232465463300244614551423651341122104334111400620303461346054126463411250146020436211211246654213316212403445133244232104100503544435413455144556010110256346512254011645415103266464514202421622446451056106005321646163066163031534
9, 2.300100, 265424200110312232465463300244614551423651341122104334111400606604644153104534542246533551014003403401641525062631220210413665645405046365455315216502016615454526440320660241025402444455543530652114202421622446451056106005321646163066163031534
10, 2.500100, 525625211243556345005156643056554530106032102114160152252263406604644150513530114250333332314503403401641525062631220210313665645105041525020010004320046011600011632520660241025402444455543530224614202421622456446660424165222061463042463030534
11, 2.900100, 341225316642420436644541052166143650413330341244111110020363406604644150503530114250333332314503403401641525062631220210313665645405046365455315216502016615454526440320660241025402444455543530652114202421622446451056106005321646163066163031534
12, 2.750100, 525625211243556345005156643256554530106042102114160152252263406604644153104534542206533251014003403401641523062631220010413662645405041365455315216202016615454526420320660241225402144455543266464514202421622446451056106005222261463042463030534
13, 3.300100, 525625211243556345025156643056554530106032102114160152252263406634644150513530114250333332314503303401641525062631220210413625645405046365455315216502016615454526440320660241025402454455543530224614202421622446451056106005321646163066163031534
14, 4.100100, 525625211243556045000156643056554530106032102144111110020360606644644153104534542250333332314503403401641520062631220210313665645405041364456315256502016615454526440320660241025402454455543530224614205421622446451056106005321646163066163031534
15, 4.100100, 265424200110310230565463300244614551423651341122104336111400606604644153104534542246533551014003403401641525062633220210413625645405046365455315216502016615454526440320660241025402454455543530224614202421622446451056106005321646163066163031534
16, 4.100100, 265424200110341563056461052116152004003605541446050136113010505360054153104534542206250146020436211214556625062631220210413625645405046365455315216502016615454526440320660241025402454455543510224614202421622456451056106005322646163066163036534
17, 4.600100, 341225316642420436644543336501663603623415651122104332252263406634644150513530114250333332320436211214556654213316412465413412663541203514145415212502016615454526440320660241025402454455543530224314202421622456451056106005321646163066163031534
18, 5.600100, 341225316642420436644543336506514530106032151122104332111400606604644153104534542206533551014503403401641525062631220210413625645405046365455315216502016615414526440320660241025402454455543510224614202421622456451256306005322646163066163036534
19, 5.100100, 341225316642420436644543336501663603623515651122104332252263406634644150513530114250330146020436211216556625062631220210413625645415046365455315216502016615454526440320660241025002454455243530224611202421622456451056106005322646163066163036534
20, 5.700100, 525625211243556345005150641056554530106042102114160136111400600303461346054126433416250146020403303401641524062531220212413625645405046365455315216502016615414526440325660241025402454455543510224614202421622456451256306005302646163066163036534
21, 5.300100, 525625211243556345005150641056554530106042102114160152252263406634664153104234542206533251014003403401641525062631220212413625645405046365455315216502016615414526440325660241025402454455543510224614202421622456451256306005302646163066163036534
22, 5.800100, 525625316642020445025156643056554603623412102114160152602263416634644153122256116516250146020436211214556654213316412465453412663541243504145462315032216615454526440320660241025402454455543510224614202421622456451056106005322646163066163031534
23, 5.400100, 525625211240310530465463300244614521423656341122104336111400600303461346054126433416250146040503303401640515360635220010413662645460041365455312216502016115054526440320660241025402454455543540224314202461626456451056106005320646163066163031534
24, 5.100100, 265424200110310530465463300244614522423556341122104336111400600303461340513530114250330146020436211216556625062631220210413625645415046365455315216502016005454526440320660241025402454455543540224314202461626456451056106005321646163066163031534
25, 5.500100, 265424200110310230465463300244624521423651341122104336111406620604644153513530112236250146020436211214556625061631220210413625645405046365455315216502016005454526440320660241025402454455543540224314202461626456451056106005321646163066163031534
26, 5.500100, 341225310110341563056461052116142004003605546446050136113010505365054153104534542206250146220403303401641524062631220212413625645405046365465315016502016615414526440320660241025402454455543510224614202421622456455056106405322646163066163036534
27, 5.600100, 341225310110341563056461052116142004003605546446050136113010505365054153104534542206250146220403303401641524062631220212413625645405046365465315016502016615414526440320660241025402454455543510224614202421622456455056106405322646163066163036534
28, 5.300100, 265424200110310230465463062214614551425412103114160152252263406634644150513530154250433332314503403401641525061611220210413625645405046365455315226502016005454526440320660241025402454455543540224314202461626456451056106005322646163066163051534
29, 5.500100, 265424200110310230465463300244634521423651341122104336111402650303461346054126433416250146020436211214556625061631220210413615645405046365455315216502016005454526440320360241025402454455543540224314202461626456451056106005321646163066163031534
30, 5.400100, 341225310110341563056461052116132004003605546426050136111000600303461346054126433416450146300436211214540515060635220010413625645405046365455345216502016615454526440020660241025402454455543510224614202421622456451256306405322646163066163336534
31, 5.400100, 341225310110341563056465052116142004003605546446050136113012600365054153104534542206250146220436211216556625062631220210413625645415046365455315216502016615414526440320660241055402454455543510224624202421622456455056106405322644163066163036534
32, 5.100100, 265424200110310230465463305244616531463651611122164332252263600303461150513530154250363332314503405001641525063631210210413625645400041365455322226502016115054526440320660241025402454455243510224664202421622456455056106405321646163006163031534
33, 5.300100, 341225314110341563056461055244616531463651651122104332252263600303461150513530154250363332314503405001641525063631210210413625615405046365455312216502016115054526440320660241025402454455543540224614212421622456455046106405322646163066163036534
34, 5.100100, 265424200110310230465466305244616521463651646046050136113013406365054153104534442206250146224503405001641525063631210210413625645405046360455312216502016115154523440320660241025402454455546510224614202421622456451256306405322646163066163036534
35, 5.400100, 265424200110310230465463300244634521423651341122104336111442650303461346054126433416250146020436211214556625061631200210513625645460041365455322226504016105054526440320360241025402454455546510224614202421622456451256306405322646163066163036534
36, 5.800100, 265424200110310530025156643056534530206032102113160152252403406603461133104534512206250146022436211216550515060635220010413662645460041365455322226502656615444526440320660241055402454455543510224664202421621456451256306005322646162066163031534
37, 5.500100, 265424200110310530025156643056534530106032102113160152252403406603461133104534512206250146022436211216550515060635220010413662645460041365455322224502016105054526440320660241025402454455253510224664202421621456451256306005322646163066163036634
38, 5.600100, 265424200110310530025156643056534530106032102113160152252403406603461133104534512206250146022436211216550515060635220010413625345405046365455345216502016115054526440050660241025402454455543510224614202421622456451256306405422646163066163036534
39, 5.400100, 265424200110310230465463300244634521423651341122104336311410505365054153104134542206350146220436211214540515030631210210413625345405046365455345216502016105054526440020660241025402454455543510254614202421622456455046106405322646163016163036534
40, 5.100100, 265423200110330230465464300244634521423654341122104336111402650303461346054126433416250146024436411214556625061631220210413525642460041365455322226502016105054526440020660241025402454455533510254614202421622456455046106405322646163016163036534
41, 5.200100, 265424200110310530025463300244616521466605546446050136113266600303461356054126033416250146020436211214541525063631210210413625445460041365455322226502016105054526440350360241025402454455543540224614202421622456451356306405322646163066163036534
42, 5.500100, 265424200110310530025156643056534530106032102113160152252403406603461346654126433410250146522436211214556625061631210210413662645460041355455322224502016105054526440320660241025402454455253514224664202421621456451356306005322646163062163031534
43, 5.300100, 341225350110310530025463300244616521466605546466050136113266600303461356054126433416250146020436211214540515030631210230413625345405046365455312216500016115054523440320660241025402454455253510424664202421621456451256306405322646163066163036534
