generation, fitness, rule
0, -28.439899, 304661463430611433526034253531601612101500645612422652460562456201263422655354652235152061551611615326604411145106523203641101064524332623356510543652125145613566421645156464453435421440606311104425235600340216422314443134525326251221401634010
1, -18.159901, 245162234361541532454545456163054433453023162215312622461040254465036236420240162406502243605314403346456654244206166530216242425213335542650624662151502663455240256250264120445042141451344411113633442624402421153541426254621512432612050131106
2, -2.729900, 115210336016243024044515655421313266601244461420621602230433264432463362561036350022203132404111333466052141244206166530216242425213335542650624662151502663455240256250264120445042141451344411113633442624002421153541426254621512432612050131106
3, -6.209900, 212046626135304450622620651445423340156244032613601255232340104603121314612440162406502243605314403346456654246206166530216242425213335542651624662151502663455240256250264120445042141451344411113633442624002421153541426254621512432612050131106
4, -1.749900, 332255263465034511401643250025155054012526566102463001650426322510404225265421565406502243605314403346456654244206166030216242425213335542650654662151502663455240256250264120445042141451344411113633462624402421153541426254621512432612050131106
5, -3.719900, 115210336016243024046263346236665056404150566102463001650426322510404225265421565406502243605314403346456654244206166530216242425213335542650624662151502663455240256250264120445042141451344411113633462624402420153541426254621512432612050131106
6, 0.120100, 322060351152623324623451245506166016403423566102463001250426322510404225265421565406502243605314403346456654244206166530216242425223335542650624662151502663455240256250264120445042141451344411113633462624402421153531426254621515632612050131106
7, -1.009900, 424031640523432224202613044120513323262024644444255424523356322510404225265421565406502243605314403346456654244206166530216242425213335542650624662151502663455240256250264120445042441451344411113633462624402420153541426254621512432612050526221
8, 0.420100, 300342156356623324623451245506166016403423566102463001250426322510404225265421565406502243605314403346456654244206166530216242425223335542650624662151502663455440256250264120445042141451344411113633462624011256454540020323642014343506000526221
9, 2.200100, 245156041256616561215015655421313266601244461420621602230433264432460362561136350622203132604311333466052141520641612012324611143536560143003104664211502663455240256250264120445042141451344411113633462624401256454540020323642014343506000526221
10, 3.700100, 322060301152541535005025402410011440402146265406006002031543655241611551200421565406502243605314403346455654244206166530216242425213335562650624662151502663455240256250264120445042141421344412246422215432136255155025452361236404010500256545066
11, 3.550100, 363260301152623300156123040044511353264330455051405362340364254524552144135162100440556632453533406122062205652066031314056611322501255111115446665015531643432355614166012164333560141451344411163633462621402421153541426254621512432112050131106
12, 3.700100, 322060301152623300156263346236665055404150561420621602230433264432462362561136350022203531305330163605256654244206166030216242425223335542650624662151502663455240256250264120445042141451344411113633462624402420153541426254621512432112050306612
13, 4.100100, 322060301152623300156261346236665050404150561420621602230433264432462362561136350022203531305330163605356654244206166030216242425223335542650624662151502663455240256250064120445042141451344411114060230604011256454540020323642014343506000526221
14, 4.300100, 322502652521123402126003642403613053140150566102621604523356326535442403634330326605541626353502266301011564643221211310216342415213334542650624662156502643445240256250214120445042441451331143446460230604011256454540020323642014343506000531106
15, 4.350100, 322502652521123402126003642405613053140150566102621640156661060221052461203433465406502243605314403346456654244201612012324611143536560143003104664211502663455240256250265120445042141451344411113636464624011256454540020323642014343235013645066
16, 6.200100, 332255263405161106062503642403613053140150566102621604523356326535442403634330326605541626605314403346456654244206166530216242425213335542630624662151502663455245256250264120445042441454235131114060230600011256454540020323642014343503000526221
17, 4.900100, 322000301652623300622442655421313266601244460102363001655403243455565620365425121121453313605314403346456654244306666530216242425213335542661431446356502663455240256250264120445042441454235136114060230600011256454540060323604160363623510526116
18, 5.400100, 323046626135304450622620651444423320156244032613601255223356326535442403634330326605541626605314403346456654244206166230216242425213335562650624662151502663455240256250264120445042441454235131114060230600011256454540020323642014343235013645066
19, 5.500100, 322000301605161106024126002640302631262024644444255424523354346514403225265421565406502645406014314122062205652066036032306060054555501521161431446351502663455240256250265120445042141451344411112636464624011256454540020320642014343612050131506
20, 4.500100, 322000301652623300622442655421313266602146265406006001655403243462512331203433465406602243603310163605556654254206166030216242425213335544650654662151502663455240256250264120445042141451344411113636464624011256454540020363642014343506000526221
21, 5.000100, 320342621652623300622442655421313266602146465406006001655403243462512331204433465406602243603310163605556654254206166030202242425215456262644124416511503643455240256251266120445042441454235131114060230600011256454540020323604110363623510526116
22, 5.100100, 424046626616304452222610651444423340156244032613621604523356326535442403634335326605551626602314403346256654244206166530210242425213335542650624660151502663623240256250064164330562441451344411446460230604011256454541426256621512432112050306612
23, 5.300100, 222513616135304450622620651444422515453654222053453335420636053645055053144201631256656200453636351651612263311250166530211242425213635542600624662151502643445240256250214120445042441451331143443636464424011256454540020323604100363623510526112
24, 5.200100, 332255265005161106024126002640302651262024644444226602230433264432462362561136350022103533605314403346456654244206166530306242425215334542650624661156502643445240256250214120445042441451331143446460464604011256454540020323642512432112050306612
25, 6.100100, 320343626135321036024122002640302515453654222053453335232340105252520002654330326005541656605314414122062205601230212066043445522203256542650624662151502663425210256250064164340042441454235131114060230600011256453540020323604110363623110521116
26, 5.350100, 332255265005161106024426002640302655453654222053453331650422322510404225265425120021453343605314403346256654243205160532216611422201256542650624662151502662455345256250264200445042441451344413113633462624401256454540020323642014343506000531106
27, 4.900100, 333255265005161106024126002620302651263024644444255424523356326535442603634330326605541616602314603346456654244206166530216242425213335542650624660151502663425240256250064164330562441451344411446460230604011256454541426254621513432112056615066
28, 5.400100, 320343626135321036024121002640302515453654222051453335232340105352520002653465100022203132624361403346156654662006036030404020054555401521650624662116502643445240256250214120445042441451311143146460230604011256454540010323601110363623513645060
29, 5.300100, 332255265005161450622415655420302265601256460103601255232340105252520002653415120022203132606316333446456654244206166530216246425213332542650624662151502663425240256250014120445042441451331143446460464604011256454540020343642064344502046615066
30, 5.300100, 320343626135321346024122002640302515453654222053453334232140105252520225365421565406202645406010164605554655244203166530202642425215456262634120416011502643455240256250064120445042440451331143446460233604021256454540020323642214343536600526521
31, 5.800100, 320342626135321036024126002640302515453654222053453335232340103455565600365415122456502643605314333466052144652030016432306060014516326441360624264251102663455240256250364120445042441453331143443050232606011256454540024323642064343506400132106
32, 5.900100, 140060406645304450622615655640303266601244422051453335232340105252520002653415326605541653605330121651612263311230012065216445415213635542650634511151503663425240256250064164334562441451344411446460232624402456154540020323622012546363126615066
33, 5.100100, 332253626135321036024226003640302515453644060102463256564462352523261502034651431401502643605314443341656624244206166030216551143536560162656624662451502563455440256250264120445043441454331143446463430600011256454540020323605110363623513645060
34, 5.500100, 332253621135321036024121002640302515453654222051453335232340105352520002653415565406102232006316333446456654244206166530003242425213335502650624660111502643455240256250064120445242440451331143446460231604011256454540023423604110363623110526116
